,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
0,0,0,0,,,0,48844,0,0,-1,1,0.0,0,56,1,0.0,1.5,0,David,0.0,0,0,0.0,1,False,0.0,0,0,0,0,0,,49,0,0,0,48844.jpg,0.0,0,0,Ospina,0.2,False,13.0,a,1,3,0.0,0,647,161,2396,312,0.0,0.0,Ospina,0,0.0,0.0,0.0,0.0
1,0,0,72,,,1,11334,0,0,0,0,0.0,0,409,1,3.7,5.2,1,Petr,3.7,6,0,9.0,2,False,89.0,0,0,0,0,360,,55,1,0,0,11334.jpg,3.0,0,15,Cech,16.7,False,33.0,a,1,3,0.0,12,70160,7183,104567,21642,0.7,2.2,Cech,0,0.0,1.6181818181818182,0.0,341.3
2,0,3,81,100.0,100.0,1,51507,0,0,0,0,2.6,1,493,2,6.3,7.8,10,Laurent,6.3,2,1,14.1,3,False,111.4,0,0,0,0,270,,60,0,0,0,51507.jpg,6.3,0,0,Koscielny,6.7,False,6.0,a,1,3,26.0,19,88710,52317,41214,6172,1.1,3.2,Koscielny,0,0.043333333333333335,1.8566666666666667,0.43333333333333335,901.0
3,0,0,0,0.0,0.0,0,17127,0,0,-1,1,0.0,0,265,2,0.0,0.0,0,Per,0.0,0,0,0.0,4,False,0.0,0,0,0,0,0,Knee injury - Unknown return date,49,0,0,0,17127.jpg,0.0,0,0,Mertesacker,0.1,False,4.0,i,1,3,0.0,0,359,30,3083,293,0.0,0.0,Mertesacker,0,0.0,0.0,0.0,0.0
4,0,0,0,25.0,0.0,0,158074,0,0,-1,1,0.0,0,244,2,0.0,0.0,0,Gabriel Armando,0.0,0,0,0.0,5,False,0.0,0,0,0,0,0,Ankle injury - 25% chance of playing,49,0,0,0,158074.jpg,0.0,0,0,de Abreu,0.1,False,5.0,d,1,3,0.0,0,144,18,4547,309,0.0,0.0,Gabriel,0,0.0,0.0,0.0,0.0
5,0,3,71,,,1,98745,0,0,0,0,61.6,0,541,2,4.3,5.8,2,Héctor,4.3,6,0,16.2,6,False,69.8,0,0,0,0,360,,65,0,0,0,98745.jpg,3.3,0,0,Bellerín,25.8,False,24.0,a,1,3,31.0,13,63436,5937,189553,38479,0.7,2.0,Bellerín,0,0.9476923076923077,1.073846153846154,0.47692307692307695,711.32
6,0,0,4,,,0,42427,0,0,-1,1,0.3,0,69,2,0.3,1.8,0,Kieran,0.3,0,0,0.4,7,False,3.8,0,0,0,0,17,,49,0,0,0,42427.jpg,1.0,0,0,Gibbs,0.6,False,3.0,a,1,3,0.0,1,1861,170,10375,1534,0.1,0.2,Gibbs,0,0.006122448979591836,0.07755102040816327,0.0,2.2299999999999995
7,0,0,0,,,0,27334,-1,1,-2,2,0.0,0,11,2,0.0,1.5,0,Mathieu,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,,48,0,0,0,27334.jpg,0.0,0,0,Debuchy,0.3,False,2.0,a,1,3,0.0,0,755,75,5239,701,0.0,0.0,Debuchy,0,0.0,0.0,0.0,0.0
8,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,178,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Knee injury - Expected back 05 Nov,50,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,25.0,i,1,3,0.0,0,49,15,119,26,0.0,0.0,Jenkinson,0,0.0,0.0,0.0,0.0
9,0,3,82,100.0,100.0,1,38411,0,0,0,0,35.7,0,511,2,4.0,5.5,1,Nacho,4.0,6,0,14.3,10,False,74.2,0,0,0,0,343,,60,0,0,0,38411.jpg,3.0,0,0,Monreal,5.0,False,18.0,a,1,3,33.0,12,19217,1741,67326,8170,0.7,2.0,Monreal,1,0.5950000000000001,1.2366666666666668,0.55,583.6
