,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,,,0,48844,0,0,-1,1,0.0,0,56,1,0.0,0.5,0,David,0.0,0,0,0.0,1,False,0.0,0,0,0,0,0,,49,0,0,0,48844.jpg,0.0,0,0,Ospina,0.2,False,13.0,a,1,3,0.0,0,744,86,2639,225,0.0,0.0,Ospina,0
1,0,0,75,,,1,11334,0,0,0,0,0.0,0,409,1,2.0,2.5,1,Petr,2.0,7,0,9.3,2,False,91.8,0,0,0,0,450,,55,1,0,0,11334.jpg,2.6,0,16,Cech,16.4,False,33.0,a,1,3,0.0,13,74669,4041,121721,16190,0.4,2.4,Cech,1
2,0,3,98,100.0,100.0,1,51507,0,0,0,0,2.7,1,493,2,4.7,5.2,2,Laurent,4.7,3,1,15.1,3,False,121.2,0,0,0,0,360,,60,0,0,0,51507.jpg,5.3,0,0,Koscielny,7.4,False,6.0,a,1,3,26.0,21,114972,23115,47312,5849,0.8,3.5,Koscielny,0
3,0,0,0,0.0,0.0,0,17127,0,0,-1,1,0.0,0,265,2,0.0,0.0,0,Per,0.0,0,0,0.0,4,False,0.0,0,0,0,0,0,Knee injury - Unknown return date,49,0,0,0,17127.jpg,0.0,0,0,Mertesacker,0.1,False,4.0,i,1,3,0.0,0,378,16,3229,137,0.0,0.0,Mertesacker,0
4,0,0,0,75.0,25.0,0,158074,-1,1,-2,2,0.0,0,244,2,0.0,0.1,0,Gabriel Armando,0.0,0,0,0.0,5,False,0.0,0,0,0,0,0,Ankle injury - 75% chance of playing,48,0,0,0,158074.jpg,0.0,0,0,de Abreu,0.1,False,5.0,d,1,3,0.0,0,168,24,4678,118,0.0,0.0,Gabriel,0
5,0,3,84,,,1,98745,0,0,0,0,83.9,0,541,2,2.0,2.5,2,Héctor,2.0,7,0,19.6,6,False,77.8,0,0,0,0,450,,65,0,0,0,98745.jpg,3.0,0,0,Bellerín,25.0,False,24.0,a,1,3,35.0,15,65954,2197,220955,29370,0.3,2.3,Bellerín,0
6,0,0,4,,,0,42427,-1,1,-2,2,0.3,0,69,2,0.3,0.8,0,Kieran,0.3,0,0,0.4,7,False,3.8,0,0,0,0,17,,48,0,0,0,42427.jpg,1.0,0,0,Gibbs,0.6,False,3.0,a,1,3,0.0,1,1968,102,11194,731,0.1,0.2,Gibbs,0
7,0,0,0,,,0,27334,0,0,-2,2,0.0,0,11,2,0.0,0.5,0,Mathieu,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,,48,0,0,0,27334.jpg,0.0,0,0,Debuchy,0.3,False,2.0,a,1,3,0.0,0,806,48,5586,312,0.0,0.0,Debuchy,0
8,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,178,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Knee injury - Expected back 05 Nov,50,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,25.0,i,1,3,0.0,0,56,7,148,29,0.0,0.0,Jenkinson,0
9,0,3,93,100.0,100.0,1,38411,0,0,0,0,40.6,0,511,2,1.7,2.2,2,Nacho,1.7,7,0,16.1,10,False,83.0,0,0,0,0,433,,60,0,0,0,38411.jpg,2.8,0,0,Monreal,4.8,False,18.0,a,1,3,37.0,14,19904,615,72531,4700,0.3,2.3,Monreal,1
