,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
1,0,0,75,,1,11334,0.0,0,409,1,1,Petr,2.0,7,0,9.3,2,False,91.8,0,450,55,1,0,0,2.6,0,16,Cech,16.2,a,1,0.0,13,76972,130695,2.4,1,GKP,1,Arsenal,1.5,Hull,0.0,1.669090909090909,0.0,288.4
2,0,3,98,100.0,1,51507,2.7,1,493,2,2,Laurent,4.7,3,1,15.1,3,False,121.2,0,360,60,0,0,0,5.3,0,0,Koscielny,7.7,a,1,26.0,21,124620,51142,3.5,0,DEF,1,Arsenal,1.5,Hull,0.045000000000000005,2.02,0.43333333333333335,1077.795
5,0,3,84,,1,98745,83.9,0,541,2,2,Héctor,2.0,7,0,19.6,6,False,77.8,0,450,65,0,0,0,3.0,0,0,Bellerín,24.6,a,1,35.0,15,67240,236679,2.3,0,DEF,1,Arsenal,1.5,Hull,1.290769230769231,1.196923076923077,0.5384615384615384,605.0999999999999
6,0,0,4,,0,42427,0.3,0,69,2,0,Kieran,0.3,0,0,0.4,7,False,3.8,0,17,48,0,0,0,1.0,0,0,Gibbs,0.6,a,1,0.0,1,2009,11574,0.2,0,DEF,1,Arsenal,1.5,Hull,0.0062499999999999995,0.07916666666666666,0.0,2.8449999999999998
9,0,3,93,100.0,1,38411,40.6,0,511,2,2,Nacho,1.7,7,0,16.1,10,False,83.0,0,433,60,0,0,0,2.8,0,0,Monreal,4.8,a,1,37.0,14,20346,75535,2.3,1,DEF,1,Arsenal,1.5,Hull,0.6766666666666666,1.3833333333333333,0.6166666666666667,423.53
10,0,0,61,,1,156074,1.5,0,0,2,0,Rob,0.7,5,0,8.8,484,False,74.4,0,270,45,0,0,0,2.3,0,0,Holding,1.1,a,1,12.0,7,37084,36858,1.6,1,DEF,1,Arsenal,1.5,Hull,0.03333333333333333,1.6533333333333335,0.26666666666666666,99.295
11,0,0,38,,0,69140,7.0,0,0,2,2,Shkodran,2.0,2,0,7.3,555,False,47.4,0,180,60,0,0,0,2.0,0,0,Mustafi,0.5,a,1,18.0,4,19512,5981,0.7,0,DEF,1,Arsenal,1.5,Hull,0.11666666666666667,0.7899999999999999,0.3,221.20000000000002
12,2,3,92,100.0,1,37265,154.9,1,690,3,10,Alexis,9.0,6,3,55.4,12,False,152.8,0,389,110,0,1,0,6.4,0,0,Sánchez,14.0,a,1,245.0,32,325842,163237,2.9,0,MID,1,Arsenal,1.5,Hull,1.4081818181818182,1.3890909090909092,2.227272727272727,7493.450000000001
13,2,3,99,75.0,1,20467,103.1,1,316,3,13,Theo,6.7,7,2,50.4,13,False,146.2,0,431,75,0,1,0,5.6,0,0,Walcott,2.4,a,1,257.0,28,84425,73201,3.7,0,MID,1,Arsenal,1.5,Hull,1.3746666666666665,1.9493333333333331,3.4266666666666667,5116.315
14,0,1,60,100.0,0,37605,153.5,0,783,3,2,Mesut,4.0,3,1,32.3,14,False,76.2,0,267,95,0,0,0,3.3,0,0,Özil,7.2,a,1,93.0,13,178741,134290,1.4,0,MID,1,Arsenal,1.5,Hull,1.6157894736842104,0.8021052631578948,0.9789473684210527,1949.1999999999998
15,2,5,116,100.0,2,19524,154.3,0,259,3,2,Santiago,6.7,3,2,38.0,15,False,152.6,0,348,77,0,0,0,6.0,0,0,Cazorla,7.9,a,1,74.0,30,293368,88005,3.9,2,MID,1,Arsenal,1.5,Hull,2.003896103896104,1.9818181818181817,0.961038961038961,3858.0449999999996
